task_id	name	status	exit	realtime	peak_vmem	peak_rss
552	perform_pairwise_association_test (398)	COMPLETED	0	8m 50s	3 GB	2.5 GB
775	perform_pairwise_association_test (621)	COMPLETED	0	10m 23s	3 GB	2.5 GB
776	perform_pairwise_association_test (622)	COMPLETED	0	10m 5s	3 GB	2.5 GB
702	perform_pairwise_association_test (548)	COMPLETED	0	9m 23s	3 GB	2.5 GB
705	perform_pairwise_association_test (551)	COMPLETED	0	9m 25s	3 GB	2.5 GB
859	perform_pairwise_association_test (705)	COMPLETED	0	9m 33s	3 GB	2.5 GB
641	perform_pairwise_association_test (487)	COMPLETED	0	8m 44s	3 GB	2.5 GB
462	perform_pairwise_association_test (308)	COMPLETED	0	9m 6s	3 GB	2.5 GB
365	perform_pairwise_association_test (211)	COMPLETED	0	9m 39s	3 GB	2.5 GB
367	perform_pairwise_association_test (213)	COMPLETED	0	9m 28s	3 GB	2.5 GB
701	perform_pairwise_association_test (547)	COMPLETED	0	9m 48s	3 GB	2.5 GB
703	perform_pairwise_association_test (549)	COMPLETED	0	10m 7s	3 GB	2.5 GB
1067	perform_pairwise_association_test (913)	COMPLETED	0	9m 28s	3 GB	2.5 GB
1068	perform_pairwise_association_test (914)	COMPLETED	0	9m 39s	3 GB	2.6 GB
370	perform_pairwise_association_test (216)	COMPLETED	0	9m 20s	3 GB	2.5 GB
861	perform_pairwise_association_test (707)	COMPLETED	0	10m 10s	3.3 GB	2.9 GB
1061	perform_pairwise_association_test (907)	COMPLETED	0	10m 9s	3 GB	2.5 GB
1062	perform_pairwise_association_test (908)	COMPLETED	0	10m 9s	3 GB	2.6 GB
366	perform_pairwise_association_test (212)	COMPLETED	0	9m 49s	3 GB	2.5 GB
642	perform_pairwise_association_test (488)	COMPLETED	0	9m 13s	3 GB	2.5 GB
644	perform_pairwise_association_test (490)	COMPLETED	0	9m 32s	3 GB	2.5 GB
643	perform_pairwise_association_test (489)	COMPLETED	0	9m 37s	3 GB	2.5 GB
645	perform_pairwise_association_test (491)	COMPLETED	0	9m 38s	3 GB	2.5 GB
1078	perform_pairwise_association_test (924)	COMPLETED	0	9m 39s	3 GB	2.6 GB
1056	perform_pairwise_association_test (902)	COMPLETED	0	10m 40s	3.1 GB	2.6 GB
612	perform_pairwise_association_test (458)	COMPLETED	0	9m 2s	3 GB	2.5 GB
646	perform_pairwise_association_test (492)	COMPLETED	0	9m 54s	3 GB	2.6 GB
602	perform_pairwise_association_test (448)	COMPLETED	0	9m 31s	3 GB	2.5 GB
603	perform_pairwise_association_test (449)	COMPLETED	0	9m 19s	3 GB	2.5 GB
605	perform_pairwise_association_test (451)	COMPLETED	0	9m 27s	3 GB	2.5 GB
607	perform_pairwise_association_test (453)	COMPLETED	0	9m 8s	3.2 GB	2.8 GB
851	perform_pairwise_association_test (697)	COMPLETED	0	9m 13s	3 GB	2.5 GB
457	perform_pairwise_association_test (303)	COMPLETED	0	8m 50s	3 GB	2.5 GB
911	perform_pairwise_association_test (757)	COMPLETED	0	8m 40s	3 GB	2.6 GB
744	perform_pairwise_association_test (590)	COMPLETED	0	10m 26s	3.3 GB	2.8 GB
601	perform_pairwise_association_test (447)	COMPLETED	0	10m 2s	3 GB	2.5 GB
604	perform_pairwise_association_test (450)	COMPLETED	0	9m 36s	3 GB	2.5 GB
606	perform_pairwise_association_test (452)	COMPLETED	0	9m 31s	3 GB	2.5 GB
609	perform_pairwise_association_test (455)	COMPLETED	0	9m 50s	3 GB	2.5 GB
